CustomerID,Campaign,Accepted
5899,Cmp3,True
2114,Cmp1,True
2114,Cmp5,True
6565,Cmp1,True
1993,Cmp4,True
1966,Cmp5,True
5710,Cmp4,True
2968,Cmp3,True
2225,Cmp1,True
2225,Cmp3,True
6260,Cmp5,True
6853,Cmp4,True
6853,Cmp5,True
9369,Cmp1,True
9369,Cmp3,True
8132,Cmp4,True
7503,Cmp3,True
1618,Cmp3,True
273,Cmp4,True
4452,Cmp1,True
4452,Cmp4,True
8504,Cmp5,True
7247,Cmp4,True
4646,Cmp1,True
7431,Cmp4,True
3267,Cmp4,True
999,Cmp4,True
999,Cmp5,True
1592,Cmp1,True
1592,Cmp5,True
7215,Cmp1,True
7215,Cmp4,True
7215,Cmp5,True
1685,Cmp4,True
7660,Cmp3,True
7987,Cmp4,True
10240,Cmp4,True
10240,Cmp5,True
10573,Cmp3,True
3712,Cmp4,True
641,Cmp3,True
10314,Cmp1,True
10314,Cmp4,True
6935,Cmp1,True
9733,Cmp3,True
9938,Cmp5,True
3182,Cmp3,True
7300,Cmp4,True
2798,Cmp1,True
2798,Cmp4,True
2798,Cmp5,True
624,Cmp3,True
5176,Cmp3,True
380,Cmp3,True
6274,Cmp4,True
6274,Cmp5,True
5341,Cmp5,True
313,Cmp4,True
9529,Cmp1,True
2176,Cmp1,True
2176,Cmp4,True
2176,Cmp5,True
10089,Cmp1,True
10089,Cmp2,True
10089,Cmp4,True
10089,Cmp5,True
309,Cmp4,True
10264,Cmp3,True
1225,Cmp3,True
9703,Cmp3,True
3762,Cmp1,True
9262,Cmp3,True
4543,Cmp5,True
2926,Cmp2,True
2926,Cmp4,True
3924,Cmp4,True
9274,Cmp1,True
6963,Cmp5,True
4440,Cmp4,True
2437,Cmp1,True
2437,Cmp4,True
2863,Cmp1,True
2863,Cmp4,True
2521,Cmp3,True
7381,Cmp1,True
7381,Cmp4,True
7381,Cmp5,True
9560,Cmp5,True
1150,Cmp5,True
9707,Cmp2,True
9707,Cmp4,True
8234,Cmp3,True
11030,Cmp3,True
175,Cmp3,True
175,Cmp5,True
2061,Cmp4,True
7274,Cmp4,True
2557,Cmp3,True
1245,Cmp4,True
1726,Cmp3,True
6720,Cmp4,True
8318,Cmp5,True
2552,Cmp4,True
7030,Cmp1,True
6504,Cmp3,True
5067,Cmp1,True
5067,Cmp2,True
5067,Cmp4,True
5067,Cmp5,True
4216,Cmp1,True
4216,Cmp5,True
1361,Cmp4,True
1361,Cmp5,True
6932,Cmp5,True
1340,Cmp1,True
1340,Cmp4,True
1340,Cmp5,True
8746,Cmp1,True
8746,Cmp4,True
3725,Cmp1,True
3725,Cmp2,True
3725,Cmp4,True
3725,Cmp5,True
1137,Cmp1,True
1137,Cmp3,True
4947,Cmp1,True
4947,Cmp4,True
3225,Cmp3,True
1992,Cmp1,True
7059,Cmp3,True
7999,Cmp4,True
7999,Cmp5,True
564,Cmp4,True
8346,Cmp3,True
10965,Cmp1,True
6605,Cmp4,True
9925,Cmp3,True
5389,Cmp4,True
6036,Cmp5,True
3711,Cmp1,True
3711,Cmp5,True
2532,Cmp3,True
4943,Cmp4,True
4943,Cmp5,True
4769,Cmp4,True
6931,Cmp5,True
5547,Cmp4,True
5547,Cmp5,True
9671,Cmp3,True
5371,Cmp3,True
8314,Cmp5,True
3174,Cmp1,True
3174,Cmp2,True
3174,Cmp4,True
3174,Cmp5,True
2574,Cmp1,True
2574,Cmp2,True
2574,Cmp4,True
5966,Cmp4,True
9058,Cmp1,True
9058,Cmp3,True
9058,Cmp5,True
254,Cmp4,True
7627,Cmp1,True
7627,Cmp5,True
988,Cmp1,True
10972,Cmp4,True
10972,Cmp5,True
6583,Cmp1,True
4376,Cmp3,True
701,Cmp3,True
2942,Cmp3,True
1173,Cmp4,True
1173,Cmp5,True
4611,Cmp1,True
4611,Cmp5,True
4248,Cmp4,True
6940,Cmp3,True
4673,Cmp1,True
8779,Cmp3,True
10767,Cmp1,True
10767,Cmp5,True
7230,Cmp4,True
1277,Cmp1,True
6384,Cmp3,True
8029,Cmp1,True
8029,Cmp4,True
8029,Cmp5,True
6988,Cmp3,True
6988,Cmp5,True
3336,Cmp3,True
4301,Cmp3,True
3619,Cmp5,True
4692,Cmp3,True
6086,Cmp1,True
11101,Cmp5,True
10430,Cmp1,True
10430,Cmp4,True
10430,Cmp5,True
7875,Cmp1,True
7875,Cmp4,True
7875,Cmp5,True
5278,Cmp1,True
3560,Cmp5,True
2281,Cmp3,True
4073,Cmp3,True
3667,Cmp1,True
3667,Cmp4,True
3667,Cmp5,True
7573,Cmp3,True
6299,Cmp3,True
10846,Cmp3,True
10446,Cmp1,True
10446,Cmp4,True
10446,Cmp5,True
3479,Cmp3,True
199,Cmp4,True
3483,Cmp1,True
3483,Cmp2,True
3483,Cmp4,True
2350,Cmp4,True
9493,Cmp1,True
9493,Cmp5,True
1,Cmp2,True
5536,Cmp1,True
5536,Cmp2,True
5536,Cmp4,True
5536,Cmp5,True
9499,Cmp4,True
9499,Cmp5,True
5121,Cmp3,True
5848,Cmp2,True
5848,Cmp3,True
5848,Cmp5,True
4856,Cmp1,True
4856,Cmp3,True
7186,Cmp3,True
5794,Cmp1,True
5794,Cmp4,True
1031,Cmp5,True
10140,Cmp2,True
10140,Cmp4,True
9353,Cmp4,True
4789,Cmp1,True
4789,Cmp3,True
4789,Cmp5,True
8443,Cmp3,True
1928,Cmp3,True
8800,Cmp3,True
10150,Cmp1,True
10619,Cmp5,True
8362,Cmp4,True
8362,Cmp5,True
4637,Cmp1,True
9972,Cmp2,True
9972,Cmp3,True
8931,Cmp1,True
2008,Cmp1,True
3139,Cmp4,True
7922,Cmp4,True
1204,Cmp1,True
6810,Cmp5,True
5386,Cmp1,True
5386,Cmp4,True
5386,Cmp5,True
3202,Cmp4,True
3202,Cmp5,True
6387,Cmp3,True
10489,Cmp1,True
10489,Cmp5,True
2611,Cmp5,True
5407,Cmp3,True
5718,Cmp1,True
5718,Cmp5,True
4580,Cmp1,True
4580,Cmp3,True
4580,Cmp5,True
8545,Cmp1,True
8545,Cmp2,True
8545,Cmp4,True
8545,Cmp5,True
7378,Cmp3,True
8492,Cmp1,True
1212,Cmp3,True
10473,Cmp4,True
10473,Cmp5,True
7962,Cmp1,True
7962,Cmp5,True
9984,Cmp1,True
9984,Cmp3,True
7453,Cmp3,True
241,Cmp5,True
8975,Cmp3,True
5236,Cmp1,True
5236,Cmp4,True
5236,Cmp5,True
7010,Cmp5,True
3706,Cmp3,True
5204,Cmp5,True
1020,Cmp5,True
6019,Cmp3,True
3717,Cmp3,True
4998,Cmp1,True
966,Cmp4,True
4767,Cmp5,True
9725,Cmp3,True
4491,Cmp4,True
3759,Cmp3,True
2055,Cmp3,True
3005,Cmp1,True
3005,Cmp3,True
6421,Cmp1,True
4207,Cmp3,True
4207,Cmp5,True
6072,Cmp1,True
1509,Cmp1,True
1509,Cmp2,True
1509,Cmp4,True
1509,Cmp5,True
1127,Cmp5,True
5538,Cmp1,True
5538,Cmp3,True
5538,Cmp5,True
146,Cmp1,True
4741,Cmp4,True
1524,Cmp1,True
7451,Cmp4,True
4356,Cmp4,True
4356,Cmp5,True
3885,Cmp3,True
1175,Cmp3,True
3412,Cmp4,True
2975,Cmp1,True
2894,Cmp1,True
2894,Cmp4,True
2894,Cmp5,True
749,Cmp3,True
10525,Cmp3,True
5031,Cmp5,True
6218,Cmp4,True
193,Cmp3,True
10660,Cmp4,True
5735,Cmp5,True
1829,Cmp4,True
9855,Cmp1,True
8732,Cmp4,True
8732,Cmp5,True
6606,Cmp4,True
234,Cmp3,True
1118,Cmp3,True
7789,Cmp5,True
8955,Cmp3,True
5644,Cmp4,True
2324,Cmp3,True
697,Cmp5,True
1627,Cmp1,True
938,Cmp3,True
4058,Cmp4,True
7736,Cmp3,True
9757,Cmp2,True
9757,Cmp4,True
9757,Cmp5,True
4138,Cmp3,True
10833,Cmp4,True
9606,Cmp1,True
9606,Cmp5,True
8534,Cmp4,True
5153,Cmp3,True
5493,Cmp3,True
2147,Cmp1,True
2147,Cmp5,True
5107,Cmp3,True
3979,Cmp5,True
6049,Cmp1,True
6049,Cmp3,True
3910,Cmp1,True
3910,Cmp3,True
3910,Cmp5,True
1740,Cmp4,True
195,Cmp3,True
10319,Cmp4,True
2296,Cmp3,True
2931,Cmp1,True
3698,Cmp5,True
9516,Cmp2,True
9516,Cmp4,True
339,Cmp4,True
9010,Cmp1,True
9010,Cmp3,True
9010,Cmp5,True
5543,Cmp4,True
1577,Cmp5,True
6024,Cmp1,True
6024,Cmp4,True
6024,Cmp5,True
6055,Cmp4,True
4394,Cmp4,True
4394,Cmp5,True
5758,Cmp1,True
5758,Cmp2,True
5758,Cmp3,True
5758,Cmp5,True
9206,Cmp5,True
10971,Cmp3,True
158,Cmp3,True
1945,Cmp1,True
1945,Cmp4,True
2535,Cmp1,True
2535,Cmp4,True
2535,Cmp5,True
9386,Cmp4,True
873,Cmp4,True
7793,Cmp4,True
2407,Cmp5,True
7912,Cmp3,True
1384,Cmp3,True
10507,Cmp4,True
5675,Cmp4,True
6770,Cmp3,True
8773,Cmp4,True
10909,Cmp3,True
10909,Cmp5,True
9121,Cmp1,True
9121,Cmp4,True
9121,Cmp5,True
4310,Cmp1,True
2561,Cmp4,True
9349,Cmp1,True
9349,Cmp5,True
922,Cmp3,True
4530,Cmp1,True
1553,Cmp1,True
1553,Cmp4,True
5221,Cmp3,True
10133,Cmp1,True
10133,Cmp4,True
10133,Cmp5,True
8233,Cmp4,True
2945,Cmp2,True
2945,Cmp3,True
7521,Cmp5,True
4070,Cmp4,True
4070,Cmp5,True
9559,Cmp3,True
5529,Cmp1,True
9743,Cmp5,True
1763,Cmp1,True
1763,Cmp3,True
1763,Cmp5,True
2072,Cmp3,True
3584,Cmp3,True
3643,Cmp5,True
7706,Cmp3,True
830,Cmp1,True
830,Cmp5,True
6050,Cmp3,True
125,Cmp4,True
1079,Cmp4,True
7321,Cmp1,True
955,Cmp3,True
7476,Cmp4,True
4261,Cmp1,True
4261,Cmp5,True
5350,Cmp5,True
9298,Cmp4,True
9298,Cmp5,True
1626,Cmp3,True
2612,Cmp1,True
10069,Cmp3,True
3409,Cmp3,True
5453,Cmp1,True
2565,Cmp4,True
4656,Cmp3,True
9242,Cmp3,True
8286,Cmp4,True
1665,Cmp2,True
1665,Cmp3,True
1665,Cmp5,True
7005,Cmp4,True
2781,Cmp1,True
2781,Cmp5,True
4127,Cmp3,True
8143,Cmp1,True
8143,Cmp4,True
3690,Cmp5,True
3433,Cmp1,True
1215,Cmp1,True
2570,Cmp2,True
2570,Cmp4,True
10742,Cmp5,True
1351,Cmp5,True
477,Cmp1,True
477,Cmp2,True
477,Cmp3,True
477,Cmp5,True
7832,Cmp1,True
7832,Cmp3,True
7832,Cmp5,True
7396,Cmp5,True
3498,Cmp3,True
1172,Cmp1,True
1172,Cmp4,True
1172,Cmp5,True
569,Cmp1,True
569,Cmp4,True
569,Cmp5,True
4686,Cmp5,True
4351,Cmp3,True
10129,Cmp5,True
5796,Cmp5,True
10556,Cmp1,True
48,Cmp4,True
737,Cmp1,True
737,Cmp4,True
737,Cmp5,True
3571,Cmp4,True
5092,Cmp4,True
5534,Cmp3,True
7960,Cmp5,True
9905,Cmp3,True
8439,Cmp1,True
6977,Cmp5,True
8397,Cmp3,True
1990,Cmp3,True
8093,Cmp1,True
10513,Cmp1,True
5782,Cmp4,True
2415,Cmp1,True
332,Cmp4,True
6906,Cmp1,True
6906,Cmp4,True
6906,Cmp5,True
7872,Cmp1,True
7872,Cmp3,True
7872,Cmp5,True
4427,Cmp3,True
4427,Cmp5,True
2886,Cmp1,True
2886,Cmp4,True
9064,Cmp5,True
3678,Cmp4,True
2186,Cmp1,True
2186,Cmp4,True
2186,Cmp5,True
1399,Cmp1,True
8341,Cmp3,True
6461,Cmp4,True
5113,Cmp3,True
2961,Cmp3,True
3010,Cmp1,True
3010,Cmp3,True
3010,Cmp5,True
6892,Cmp1,True
6892,Cmp4,True
8462,Cmp3,True
5558,Cmp5,True
10951,Cmp4,True
5623,Cmp3,True
5544,Cmp4,True
5831,Cmp1,True
5831,Cmp4,True
10176,Cmp2,True
10176,Cmp4,True
3138,Cmp1,True
3138,Cmp2,True
3138,Cmp4,True
3138,Cmp5,True
4994,Cmp5,True
10872,Cmp2,True
10872,Cmp4,True
1139,Cmp1,True
1139,Cmp3,True
1139,Cmp5,True
10448,Cmp3,True
2109,Cmp5,True
3009,Cmp2,True
3009,Cmp4,True
3009,Cmp5,True
8537,Cmp1,True
4331,Cmp4,True
4331,Cmp5,True
6281,Cmp3,True
4338,Cmp3,True
10913,Cmp3,True
3334,Cmp1,True
3334,Cmp5,True
10949,Cmp1,True
6248,Cmp5,True
10164,Cmp4,True
10164,Cmp5,True
6815,Cmp1,True
6815,Cmp3,True
6815,Cmp5,True
4122,Cmp1,True
5370,Cmp3,True
405,Cmp3,True
500,Cmp1,True
500,Cmp4,True
500,Cmp5,True
9323,Cmp3,True
3945,Cmp3,True
983,Cmp3,True
5628,Cmp3,True
10701,Cmp1,True
10701,Cmp5,True
4426,Cmp1,True
5250,Cmp5,True
6343,Cmp4,True
7734,Cmp1,True
7734,Cmp5,True
1146,Cmp3,True
1103,Cmp3,True
1103,Cmp5,True
3422,Cmp2,True
3422,Cmp4,True
2909,Cmp4,True
2909,Cmp5,True
340,Cmp3,True
3104,Cmp5,True
1008,Cmp3,True
2115,Cmp4,True
2088,Cmp2,True
2088,Cmp4,True
2088,Cmp5,True
6292,Cmp5,True
3919,Cmp1,True
271,Cmp3,True
5136,Cmp4,True
5136,Cmp5,True
9790,Cmp5,True
7233,Cmp1,True
7699,Cmp3,True
5186,Cmp4,True
7313,Cmp1,True
3520,Cmp1,True
3520,Cmp2,True
3520,Cmp3,True
3520,Cmp5,True
10394,Cmp1,True
10394,Cmp3,True
10394,Cmp5,True
9362,Cmp4,True
3968,Cmp2,True
3968,Cmp4,True
3968,Cmp5,True
2829,Cmp1,True
2829,Cmp4,True
1772,Cmp1,True
1772,Cmp5,True
4377,Cmp3,True
8858,Cmp4,True
9723,Cmp4,True
2666,Cmp4,True
5721,Cmp5,True
8722,Cmp1,True
8722,Cmp3,True
7118,Cmp3,True
10722,Cmp3,True
2632,Cmp3,True
4333,Cmp4,True
7366,Cmp4,True
7366,Cmp5,True
4286,Cmp3,True
8720,Cmp4,True
7004,Cmp3,True
4001,Cmp1,True
7270,Cmp4,True
